role,period,metric,score_lower,score_upper,policies,q_lower,q_upper,development_max_upper,classification,exceeds_conservative_reference,within_conservative_reference,exceeds_all_development_upper
primary_oot,2016-11,default_gap,0.3865578944650413,0.39353321441579014,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-11,miscoverage_excess,0.3676816459292479,0.3676816459292479,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-11,payoff_shortfall,0.27758698716317637,0.28246878716317636,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2016-12,default_gap,0.43392523664713073,0.43392523664713073,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2016-12,miscoverage_excess,0.42227500000000007,0.42227500000000007,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2016-12,payoff_shortfall,0.31576903896593383,0.31576903896593383,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2017-01,default_gap,0.2299822058058433,0.2299822058058433,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2017-01,miscoverage_excess,0.2106000000000006,0.2106000000000006,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2017-01,payoff_shortfall,0.15814694427055356,0.15814694427055356,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2017-02,default_gap,0.31942256119535434,0.34942256119535436,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2017-02,miscoverage_excess,0.281725000000024,0.311725000000024,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2017-02,payoff_shortfall,0.21631209252513292,0.23782409252513292,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2017-03,default_gap,0.255383501415063,0.271383501415063,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2017-03,miscoverage_excess,0.22595,0.24194999999999997,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2017-03,payoff_shortfall,0.17905642682734946,0.19084682682734946,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2017-04,default_gap,0.3192262456874646,0.3432262456874646,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2017-04,miscoverage_excess,0.29779999999999995,0.3218,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2017-04,payoff_shortfall,0.2215751640667786,0.2368427640667786,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2017-05,default_gap,0.2953710571150545,0.42444592956902544,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2017-05,miscoverage_excess,0.27047969281990736,0.38485,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2017-05,payoff_shortfall,0.21034699674372528,0.2866539812654132,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
primary_oot,2017-06,default_gap,0.3210511861467167,0.5279537710099754,240,0.19969236119925052,0.20990112204059513,0.20990112204059513,definitely_exceeds,True,False,True
primary_oot,2017-06,miscoverage_excess,0.2901055323515075,0.48148125584733037,240,0.175175,0.203775,0.203775,definitely_exceeds,True,False,True
primary_oot,2017-06,payoff_shortfall,0.21356184730086542,0.34114285000825895,240,0.12264933267600503,0.13913446000387866,0.13913446000387866,definitely_exceeds,True,False,True
