cohort,feature,rows,present_rows,coverage,first_seen
pd_development,earliest_cr_line,17433,17404,0.9983364882693742,2007-06-01
policy_development,earliest_cr_line,94885,94885,1.0,2013-02-01
post_extension,earliest_cr_line,877671,877671,1.0,2017-10-01
primary_oot,earliest_cr_line,376890,376890,1.0,2016-04-01
probability_calibration,earliest_cr_line,14101,14101,1.0,2011-01-01
censored_extension,emp_length,88227,81429,0.9229487571831753,2017-07-01
conformal_fit,emp_length,49007,47086,0.9608015181504683,2012-01-01
maturity_gap,emp_length,541863,505899,0.9336289800189347,2014-01-01
pd_development,emp_length,17433,17153,0.9839385074284404,2007-06-01
policy_development,emp_length,94885,90082,0.9493808294250935,2013-02-01
post_extension,emp_length,877671,796883,0.9079518407239159,2017-10-01
primary_oot,emp_length,376890,349580,0.927538539096288,2016-04-01
probability_calibration,emp_length,14101,13546,0.9606410892844479,2011-01-01
censored_extension,emp_title,88227,81322,0.9217359765151257,2017-07-01
conformal_fit,emp_title,49007,45884,0.936274409778195,2012-01-01
maturity_gap,emp_title,541863,504837,0.9316690750244988,2014-01-01
pd_development,emp_title,17433,16382,0.9397120403831813,2007-06-01
policy_development,emp_title,94885,88121,0.9287137060652368,2013-02-01
post_extension,emp_title,877671,758744,0.8644970609715942,2017-10-01
primary_oot,emp_title,376890,349254,0.9266735652312346,2016-04-01
probability_calibration,emp_title,14101,13080,0.927593787674633,2011-01-01
censored_extension,fico_range_high,88227,88227,1.0,2017-07-01
conformal_fit,fico_range_high,49007,49007,1.0,2012-01-01
maturity_gap,fico_range_high,541863,541863,1.0,2014-01-01
pd_development,fico_range_high,17433,17433,1.0,2007-06-01
policy_development,fico_range_high,94885,94885,1.0,2013-02-01
post_extension,fico_range_high,877671,877671,1.0,2017-10-01
primary_oot,fico_range_high,376890,376890,1.0,2016-04-01
probability_calibration,fico_range_high,14101,14101,1.0,2011-01-01
censored_extension,fico_range_low,88227,88227,1.0,2017-07-01
conformal_fit,fico_range_low,49007,49007,1.0,2012-01-01
maturity_gap,fico_range_low,541863,541863,1.0,2014-01-01
pd_development,fico_range_low,17433,17433,1.0,2007-06-01
policy_development,fico_range_low,94885,94885,1.0,2013-02-01
post_extension,fico_range_low,877671,877671,1.0,2017-10-01
primary_oot,fico_range_low,376890,376890,1.0,2016-04-01
probability_calibration,fico_range_low,14101,14101,1.0,2011-01-01
censored_extension,funded_amnt,88227,88227,1.0,2017-07-01
conformal_fit,funded_amnt,49007,49007,1.0,2012-01-01
maturity_gap,funded_amnt,541863,541863,1.0,2014-01-01
pd_development,funded_amnt,17433,17433,1.0,2007-06-01
policy_development,funded_amnt,94885,94885,1.0,2013-02-01
post_extension,funded_amnt,877671,877671,1.0,2017-10-01
primary_oot,funded_amnt,376890,376890,1.0,2016-04-01
probability_calibration,funded_amnt,14101,14101,1.0,2011-01-01
censored_extension,funded_amnt_inv,88227,88227,1.0,2017-07-01
conformal_fit,funded_amnt_inv,49007,49007,1.0,2012-01-01
maturity_gap,funded_amnt_inv,541863,541863,1.0,2014-01-01
pd_development,funded_amnt_inv,17433,17433,1.0,2007-06-01
policy_development,funded_amnt_inv,94885,94885,1.0,2013-02-01
post_extension,funded_amnt_inv,877671,877671,1.0,2017-10-01
primary_oot,funded_amnt_inv,376890,376890,1.0,2016-04-01
probability_calibration,funded_amnt_inv,14101,14101,1.0,2011-01-01
censored_extension,grade,88227,88227,1.0,2017-07-01
conformal_fit,grade,49007,49007,1.0,2012-01-01
maturity_gap,grade,541863,541863,1.0,2014-01-01
pd_development,grade,17433,17433,1.0,2007-06-01
policy_development,grade,94885,94885,1.0,2013-02-01
post_extension,grade,877671,877671,1.0,2017-10-01
primary_oot,grade,376890,376890,1.0,2016-04-01
probability_calibration,grade,14101,14101,1.0,2011-01-01
censored_extension,hardship_amount,88227,5228,0.059256236752921444,2017-07-01
conformal_fit,hardship_amount,49007,0,0.0,
maturity_gap,hardship_amount,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_amount,17433,0,0.0,
policy_development,hardship_amount,94885,0,0.0,
post_extension,hardship_amount,877671,95172,0.10843698834756987,2017-10-01
primary_oot,hardship_amount,376890,7010,0.018599591392714054,2016-04-01
probability_calibration,hardship_amount,14101,0,0.0,
censored_extension,hardship_dpd,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,hardship_dpd,49007,0,0.0,
maturity_gap,hardship_dpd,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_dpd,17433,0,0.0,
policy_development,hardship_dpd,94885,0,0.0,
post_extension,hardship_dpd,877671,74396,0.08476524802574086,2017-10-01
primary_oot,hardship_dpd,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_dpd,14101,0,0.0,
censored_extension,hardship_end_date,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,hardship_end_date,49007,0,0.0,
maturity_gap,hardship_end_date,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_end_date,17433,0,0.0,
policy_development,hardship_end_date,94885,0,0.0,
post_extension,hardship_end_date,877671,74396,0.08476524802574086,2017-10-01
primary_oot,hardship_end_date,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_end_date,14101,0,0.0,
censored_extension,hardship_flag,88227,86578,0.9813095764335181,2017-07-01
conformal_fit,hardship_flag,49007,49007,1.0,2012-01-01
maturity_gap,hardship_flag,541863,541863,1.0,2014-01-01
pd_development,hardship_flag,17433,17433,1.0,2007-06-01
policy_development,hardship_flag,94885,94885,1.0,2013-02-01
post_extension,hardship_flag,877671,856898,0.9763316778154912,2017-10-01
primary_oot,hardship_flag,376890,375134,0.9953408156225955,2016-04-01
probability_calibration,hardship_flag,14101,14101,1.0,2011-01-01
censored_extension,hardship_last_payment_amount,88227,5228,0.059256236752921444,2017-07-01
conformal_fit,hardship_last_payment_amount,49007,0,0.0,
maturity_gap,hardship_last_payment_amount,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_last_payment_amount,17433,0,0.0,
policy_development,hardship_last_payment_amount,94885,0,0.0,
post_extension,hardship_last_payment_amount,877671,95172,0.10843698834756987,2017-10-01
primary_oot,hardship_last_payment_amount,376890,7010,0.018599591392714054,2016-04-01
probability_calibration,hardship_last_payment_amount,14101,0,0.0,
censored_extension,hardship_length,88227,3579,0.04056581318643952,2017-07-01
conformal_fit,hardship_length,49007,0,0.0,
maturity_gap,hardship_length,541863,2205,0.0040692942681083595,2014-08-01
pd_development,hardship_length,17433,0,0.0,
policy_development,hardship_length,94885,0,0.0,
post_extension,hardship_length,877671,74396,0.08476524802574086,2017-10-01
primary_oot,hardship_length,376890,5254,0.013940407015309507,2016-04-01
probability_calibration,hardship_length,14101,0,0.0,
censored_extension,hardship_loan_status,88227,3570,0.04046380359753817,2017-07-01
conformal_fit,hardship_loan_status,49007,0,0.0,
maturity_gap,hardship_loan_status,541863,2205,0.0040692942681083595,2014-08-01
