learner,pair_id,pair_index,window_from,window_to,taxonomy_groups,conformal_group,score_stratum,candidate_rows,resolved_rows,unresolved_rows,threshold_from,threshold_to,threshold_low,threshold_high,threshold_delta,threshold_sign,potential_y0_crossed_rows,potential_y1_crossed_rows,resolved_y0_crossed_rows,resolved_y1_crossed_rows,resolved_y0_delta_numerator,resolved_y1_delta_numerator,resolved_delta_numerator,resolved_covered_from_numerator,resolved_covered_to_numerator,resolved_delta_rate,delta_lower_numerator,delta_upper_numerator,delta_width_numerator,delta_lower,delta_upper,delta_width,ids_sha256,scores_sha256,assignments_sha256
catboost_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,0,1,60520,58445,2075,0.048438468365525386,0.04846688140870716,0.048438468365525386,0.04846688140870716,2.8413043181775566e-05,1,61,0,53,0,53,0,53,50605,50658,0.0009068354863546925,53,56,3,0.000875743555849306,0.0009253139458030404,4.95703899537343e-05,42bedb4c3668d4d5e7189e70b5c2f5c55e1a9522900cf07b9d3f9706c6e422f2,375fe8d8a443a5d8ac7cf2da9253194ec64b71caeb88470ca603098d9aa4a4cc,1a690b4cec6d6b6c3fb3340dacaff335c1eb67a8d74c9414a12df50466abaec5
catboost_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,1,2,79865,77165,2700,0.07978673631620159,0.07984407970071351,0.07978673631620159,0.07984407970071351,5.734338451192367e-05,1,154,0,132,0,132,0,132,67691,67823,0.0017106200997861725,132,138,6,0.001652789081575158,0.0017279158580103926,7.512677643523446e-05,eab0eb47d329e329988ab0b96a639bcf1e312b4e17f4ca24c8c0723ccd13a2e8,b8cb266f3d604e8a4abf7f676e9c52a2643d25218fcd7881752f3b5a9cf6da88,080524293dc58151b54ac1d7b503f409e980e34e765f0b8ac361a31bc1f6dca0
catboost_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,2,3,79047,76495,2552,0.8894148014498154,0.8892521057704302,0.8892521057704302,0.8894148014498154,-0.00016269567938520524,-1,0,426,0,58,0,-58,-58,65673,65615,-0.0007582194914700308,-71,-58,13,-0.0008981998051791972,-0.0007337406859210344,0.00016445911925816285,c23db5872a049067a0cbbe57f6b7b5fba308f3ecdde5916011ccb305eb05f859,7a0d1de9eadc468307dd5173b75e7a25483d8cbd103689b84f1854f12fc43194,ae7f5d7c1a202281b72c8a2bcf3498d9e33f805535dccd6a92c500c788f7ebee
catboost_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,3,4,80235,77819,2416,0.8616959042825142,0.8612148729915213,0.8612148729915213,0.8616959042825142,-0.00048103129099286157,-1,0,877,0,183,0,-183,-183,67902,67719,-0.0023516107891388993,-207,-183,24,-0.002579921480650589,-0.0022808001495606654,0.00029912133108992334,cbc89358ad150eea1b105f591aa926327a5214a81cc7372bf33d23d393e6a950,936f7185d092737c77be7700a773430ed8ecd974a059c0a4f47544e26a90f82f,48504f0eeba9303c891c41f9d4bdc17375c167208d1274e23dc4cee6df380ce0
catboost_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,4,5,77223,74890,2333,0.8124732989633325,0.8119678361988626,0.8119678361988626,0.8124732989633325,-0.0005054627644699439,-1,0,418,0,90,0,-90,-90,66434,66344,-0.0012017625851248497,-98,-90,8,-0.0012690519663830723,-0.0011654558874946584,0.00010359607888841407,475ae90ddefc3b0bb06a7cb8245775084f7e24e48661c8b81cba83677e1466fd,79de9092b631d37a5ba87868e0b8f2a54fb43116e93ecf1a3d5bbec635c6fc82,0b7cc2d381db9e70a9684cdefc3d2ac8495796e12d55396f2053ec5fca547c8c
catboost_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,0,1,60520,58445,2075,0.04846688140870716,0.04848050129381764,0.04846688140870716,0.04848050129381764,1.3619885110477403e-05,1,39,0,37,0,37,0,37,50658,50695,0.0006330738300966721,37,39,2,0.000611368142762723,0.0006444150693985459,3.304692663582287e-05,42bedb4c3668d4d5e7189e70b5c2f5c55e1a9522900cf07b9d3f9706c6e422f2,375fe8d8a443a5d8ac7cf2da9253194ec64b71caeb88470ca603098d9aa4a4cc,1a690b4cec6d6b6c3fb3340dacaff335c1eb67a8d74c9414a12df50466abaec5
catboost_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,1,2,79865,77165,2700,0.07984407970071351,0.07973976715411543,0.07973976715411543,0.07984407970071351,-0.00010431254659808153,-1,271,0,227,0,-227,0,-227,67823,67596,-0.002941748201905009,-240,-227,13,-0.0030050710574093783,-0.002842296375133037,0.00016277468227634132,eab0eb47d329e329988ab0b96a639bcf1e312b4e17f4ca24c8c0723ccd13a2e8,b8cb266f3d604e8a4abf7f676e9c52a2643d25218fcd7881752f3b5a9cf6da88,080524293dc58151b54ac1d7b503f409e980e34e765f0b8ac361a31bc1f6dca0
catboost_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,2,3,79047,76495,2552,0.8892521057704302,0.8884345991499274,0.8884345991499274,0.8892521057704302,-0.0008175066205028392,-1,0,1930,0,315,0,-315,-315,65615,65300,-0.004117916203673443,-372,-315,57,-0.004706060951079737,-0.0039849709666401004,0.0007210899844396372,c23db5872a049067a0cbbe57f6b7b5fba308f3ecdde5916011ccb305eb05f859,7a0d1de9eadc468307dd5173b75e7a25483d8cbd103689b84f1854f12fc43194,ae7f5d7c1a202281b72c8a2bcf3498d9e33f805535dccd6a92c500c788f7ebee
catboost_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,3,4,80235,77819,2416,0.8612148729915213,0.8604327334944422,0.8604327334944422,0.8612148729915213,-0.0007821394970791706,-1,0,1416,0,257,0,-257,-257,67719,67462,-0.0033025353705393285,-314,-257,57,-0.003913504081759831,-0.0032030909204212627,0.000710413161338568,cbc89358ad150eea1b105f591aa926327a5214a81cc7372bf33d23d393e6a950,936f7185d092737c77be7700a773430ed8ecd974a059c0a4f47544e26a90f82f,48504f0eeba9303c891c41f9d4bdc17375c167208d1274e23dc4cee6df380ce0
catboost_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,4,5,77223,74890,2333,0.8119678361988626,0.8109305281057975,0.8109305281057975,0.8119678361988626,-0.0010373080930651257,-1,0,795,0,198,0,-198,-198,66344,66146,-0.0026438776872746697,-220,-198,22,-0.002848892169431387,-0.002564002952488248,0.0002848892169431387,475ae90ddefc3b0bb06a7cb8245775084f7e24e48661c8b81cba83677e1466fd,79de9092b631d37a5ba87868e0b8f2a54fb43116e93ecf1a3d5bbec635c6fc82,0b7cc2d381db9e70a9684cdefc3d2ac8495796e12d55396f2053ec5fca547c8c
