learner,pair_id,pair_index,window_from,window_to,taxonomy_groups,strata_rows,candidate_rows,resolved_rows,unresolved_rows,potential_y0_crossed_rows,potential_y1_crossed_rows,resolved_y0_crossed_rows,resolved_y1_crossed_rows,resolved_y0_delta_numerator,resolved_y1_delta_numerator,resolved_delta_numerator,resolved_covered_from_numerator,resolved_covered_to_numerator,delta_lower_numerator,delta_upper_numerator,delta_width_numerator,threshold_decrease_strata,threshold_equal_strata,threshold_increase_strata,resolved_delta_rate,delta_lower,delta_upper,delta_width
numeric_logistic_platt,06:w07_2012m07_m12->w08_2012m08_2013m01,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,736,5107,620,998,-532,-998,-1530,320098,318568,-1711,-1530,181,4,0,1,-0.004193917996568114,-0.004539786144498395,-0.0040595399188092015,0.0004802462256891931
catboost_monotonic_platt,00:w01_2012m01_m06->w02_2012m02_m07,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,264,2611,226,517,-172,307,135,322033,322168,116,207,91,2,0,3,0.0003700515879324807,0.0003077821114914166,0.0005492318713683038,0.00024144975987688716
catboost_monotonic_platt,01:w02_2012m02_m07->w03_2012m03_m08,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,698,2073,590,391,-214,-13,-227,322168,321941,-296,-193,103,3,0,2,-0.0006222348923012823,-0.0007853750431160286,-0.0005120857544641673,0.0002732892886518613
catboost_monotonic_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,429,6151,386,1022,-386,-602,-988,321941,320953,-1172,-954,218,4,0,1,-0.0027082293990910436,-0.00310966064368914,-0.0025312425376104435,0.0005784181060786967
catboost_monotonic_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,235,1965,206,294,36,-282,-246,320953,320707,-309,-236,73,3,0,2,-0.0006743162268991869,-0.0008198678659555839,-0.0006261773992411579,0.00019369046671442595
catboost_monotonic_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,174,1889,155,399,103,-399,-296,320707,320411,-366,-290,76,4,0,1,-0.0008113723705778836,-0.0009711056276367109,-0.0007694552787285415,0.0002016503489081695
catboost_monotonic_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,637,3354,531,633,-531,-633,-1164,320411,319247,-1269,-1174,95,4,1,0,-0.0031906670248400557,-0.0033670301679535144,-0.0031149672318183026,0.0002520629361352119
catboost_monotonic_platt,06:w07_2012m07_m12->w08_2012m08_2013m01,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,596,5199,500,1130,-184,-1130,-1314,319247,317933,-1477,-1305,172,4,0,1,-0.0036018354558761453,-0.0039189153333863995,-0.0034625487542784368,0.0004563665791079625
woe_scorecard_platform_platt,00:w01_2012m01_m06->w02_2012m02_m07,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,21,2724,19,437,-19,437,418,324903,325321,417,499,82,1,1,3,0.0011457893611539031,0.001106423624930351,0.0013239937382260075,0.00021757011329565657
woe_scorecard_platform_platt,01:w02_2012m02_m07->w03_2012m03_m08,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,229,5198,203,751,1,-751,-750,325321,324571,-912,-749,163,3,0,2,-0.002055842155180448,-0.0024198041868980337,-0.001987317254371302,0.00043248693252673193
woe_scorecard_platform_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,392,2982,350,503,-350,-503,-853,324571,323718,-959,-853,106,4,1,0,-0.002338177811158563,-0.002544509007933349,-0.0022632598370877443,0.0002812491708456048
woe_scorecard_platform_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,280,9053,239,1458,239,-1458,-1219,323718,322499,-1495,-1210,285,3,0,2,-0.003341428782886622,-0.00396667462654886,-0.003210485818143225,0.0007561888084056356
woe_scorecard_platform_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,84,2699,72,563,72,-563,-491,322499,322008,-578,-488,90,3,1,1,-0.0013458913309248,-0.0015336039693279206,-0.0012948075035156147,0.00023879646581230599
woe_scorecard_platform_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,914,7378,765,1397,-527,-1397,-1924,322008,320084,-2181,-1938,243,4,0,1,-0.005273920408756243,-0.005786834354851549,-0.005142083897158322,0.0006447504576932261
woe_scorecard_platform_platt,06:w07_2012m07_m12->w08_2012m08_2013m01,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,726,8009,616,1568,-476,-1568,-2044,320084,318040,-2297,-2043,254,4,0,1,-0.005602855153585115,-0.006094616466342965,-0.005420679773939346,0.0006739366924036191
woe_scorecard_borrower_platt,00:w01_2012m01_m06->w02_2012m02_m07,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,269,3885,225,597,167,375,542,325790,326332,528,650,122,2,0,3,0.0014856885974770704,0.0014009392660988618,0.0017246411419777653,0.00032370187587890366
woe_scorecard_borrower_platt,01:w02_2012m02_m07->w03_2012m03_m08,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,497,2234,429,350,-429,-128,-557,326332,325775,-620,-543,77,4,0,1,-0.0015268054405806794,-0.0016450423200403302,-0.0014407386770675793,0.00020430364297275067
woe_scorecard_borrower_platt,02:w03_2012m03_m08->w04_2012m04_m09,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,730,3290,622,472,-622,-344,-966,325775,324809,-1089,-955,134,4,0,1,-0.0026479246958724173,-0.0028894372363289025,-0.0025338958316750244,0.0003555414046538778
woe_scorecard_borrower_platt,03:w04_2012m04_m09->w05_2012m05_m10,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,296,4214,262,699,-262,-699,-961,324809,323848,-1109,-961,148,5,0,0,-0.0026342190815045476,-0.0029425031176205257,-0.0025498155960625114,0.0003926875215580143
woe_scorecard_borrower_platt,04:w05_2012m05_m10->w06_2012m06_m11,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,776,5475,676,1007,676,-903,-227,323848,323621,-374,-193,181,2,0,3,-0.0006222348923012823,-0.0009923319801533603,-0.0005120857544641673,0.0004802462256891931
woe_scorecard_borrower_platt,05:w06_2012m06_m11->w07_2012m07_m12,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,171,11635,156,2002,-10,-2002,-2012,323621,321609,-2375,-2012,363,4,0,1,-0.005515139221630749,-0.006301573403380297,-0.005338427657937329,0.0009631457454429674
woe_scorecard_borrower_platt,06:w07_2012m07_m12->w08_2012m08_2013m01,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,280,13613,243,2395,-171,-2395,-2566,321609,319043,-3006,-2565,441,4,0,1,-0.007033721293590706,-0.00797580195813102,-0.00680569927565072,0.0011701026824802994
