corpus_type,relative_path,pages,recommended_parser,extraction_used,text_quality,crpto_relevance,ijds_relation,topic,sha1_prefix
"supplement","Papers_tesis/supplement/Liu Grigas 2021 - Risk Bounds and Calibration for Smart Predict Then Optimize.pdf",12,"docling","pypdf","strong","high","close","decision_focused","e50efab2aab9a2c3da7ffb01269fcea7f547ade4"
"supplement","Papers_tesis/supplement/Liu Levis Normand Han 2024 - Multi-Source Conformal Inference Under Distribution Shift.pdf",39,"docling","pypdf","strong","high","close","conformal_prediction","84145ac179d9b16784409c0b38deb7c85500be99"
"supplement","Papers_tesis/supplement/Mandi et al 2024 - Decision-Focused Learning Survey.pdf",76,"docling","pypdf","strong","high","close","decision_focused","0b9baf17c1f8e3d109ad2f85e64936c80fa5d256"
"supplement","Papers_tesis/supplement/Morucci Noor-E-Alam Rudin 2022 - Robust uncertainty in matching causal inference.pdf",93,"docling","pypdf","strong","medium","direct_ijds","causal_robustness","79811d05397be5a60f30384130464608b6fa820f"
"supplement","Papers_tesis/supplement/Rockafellar Uryasev 2000 - Optimization of Conditional Value-at-Risk.pdf",26,"docling","pypdf","strong","high","close","robust_optimization","58444c142b6ea5c71a435cac7a0b4c66d6c68869"
"supplement","Papers_tesis/supplement/Romano Patterson Candes 2019 - Conformalized Quantile Regression.pdf",19,"docling","pypdf","strong","high","close","conformal_prediction","2fcafe12936f0b3eff27acf537584b7b40c47638"
"supplement","Papers_tesis/supplement/Sadana et al 2025 - A survey of contextual optimization methods.pdf",52,"docling","pypdf","strong","high","close","decision_focused","07906989bc5996ac492458bbbffc4cbf7babc0de"
"supplement","Papers_tesis/supplement/Schutte et al 2024 - Robust Losses for Decision-Focused Learning.pdf",10,"docling","pypdf","strong","high","close","decision_focused","6bccea4c83af4182b7a6c1d038636693808dcd0b"
"supplement","Papers_tesis/supplement/Shafer Vovk 2008 - A Tutorial on Conformal Prediction.pdf",51,"docling","pypdf","strong","high","close","conformal_prediction","9f5725e1ff67daf6f9976ec0b305b5b57f7b7646"
"supplement","Papers_tesis/supplement/Stratigakos et al 2026 - Decision-calibrated prediction sets for robust power system operations.pdf",25,"docling","pypdf","strong","high","close","conformal_prediction","e730785e04b86d5808a3dd82355020f3fb8802e3"
"supplement","Papers_tesis/supplement/Tibshirani et al 2019 - Conformal Prediction Under Covariate Shift.pdf",11,"docling","pypdf","strong","high","close","conformal_prediction","e124461a986e8e42ac985ca1763050ff47bc6632"
"supplement","Papers_tesis/supplement/Wang Dobriban 2026 - Optimal Decision-Making Based on Prediction Sets.pdf",24,"docling","pypdf","strong","high","close","conformal_prediction","a2d927be3a0e3cce6784b91f51b039f11018366e"
"supplement","Papers_tesis/supplement/Wiberg Dai Lam Kulkarni 2025 - Synergizing AI and OR.pdf",11,"docling","pypdf","strong","high","direct_ijds","decision_focused","e9c5a13c3d0a2a47e3c1f0e4815badf020fd410e"
"supplement","Papers_tesis/supplement/Xu et al 2024 - Profit- and risk-driven credit scoring under parameter uncertainty.pdf",17,"docling","pypdf","strong","high","close","credit_lending_economics","750cba062dab733712e2077a924b1385e8e7c12a"
"supplement","Papers_tesis/supplement/Xu Kou Ergu 2025 - Profit-based uncertainty estimation with application to credit scoring.pdf",14,"docling","pypdf","strong","high","close","credit_lending_economics","a43203806e141d71b4fef1a47c308dd193453c7f"
"supplement","Papers_tesis/supplement/Yang Jin 2026 - Multi-Distribution Robust Conformal Prediction.pdf",45,"docling","pypdf","strong","high","close","conformal_prediction","ed861ca0d30a2633443694f7a407f948d598241c"
"supplement","Papers_tesis/supplement/Yeh et al 2025 - Conformal Risk Training.pdf",30,"docling","pypdf","strong","high","close","conformal_risk_control","690e4095f3ba1b2e537dc16714307a5471072e05"
"supplement","Papers_tesis/supplement/Yeh et al 2026 - End-to-End Conformal Calibration for Optimization Under Uncertainty.pdf",29,"docling","pypdf","strong","high","close","conformal_prediction","8754d487908ba2c785eff24bee47c8c4aa5002a1"
"supplement","Papers_tesis/supplement/Zhou Orfanoudaki Zhu 2025 - Conformalized Decision Risk Assessment.pdf",41,"docling","pypdf","strong","high","close","conformal_prediction","df94e518b8dc4aa62973dd59ec1a3e379a690f19"
"supplement","Papers_tesis/supplement/Zhou Zhu 2025 - Calibrating Decision Robustness via Inverse Conformal Risk Control.pdf",20,"docling","pypdf","strong","high","close","conformal_risk_control","4c9455d605af605186163bc969d6d2e94ad0db4d"
"tesis","Papers_tesis/tesis/Babaei Bamdad 2020 - Multi-Objective Investment Recommendation in P2P Lending.pdf",11,"mineru","pypdf","strong","high","close","credit_lending_economics","6394cba5906f0459b95f8a90ac11039af384c7b7"
"tesis","Papers_tesis/tesis/Basel Committee 2015 - Guidance on Credit Risk and Expected Credit Losses.pdf",36,"mineru","pypdf","partial","high","close","credit_lending_economics","f04132e613f552aa094a051b3136e022fa2be6e5"
"tesis","Papers_tesis/tesis/Ben-Tal El Ghaoui Nemirovski 2009 - Robust Optimization.pdf",570,"mineru","pypdf","weak","high","close","robust_optimization","62a3b5d2984a1477804c8c2b5268a941883d57be"
"tesis","Papers_tesis/tesis/Blattner Nelson 2021 - How Costly is Noise Data and Disparities in Consumer Credit.pdf",86,"mineru","pypdf","strong","high","close","credit_fairness","675cb1f2d65eb7e034428809ec195046756cd760"
"tesis","Papers_tesis/tesis/Brevoort Grimm Kambara 2016 - Credit Invisibles and the Unscored.pdf",44,"mineru","pypdf","strong","high","close","credit_fairness","f29c1d0f41eb4152f25afbb89af6de31247a4f05"
"tesis","Papers_tesis/tesis/Cresswell et al 2024 - Conformal Prediction Sets Improve Human Decision Making.pdf",19,"mineru","pypdf","strong","medium","close","conformal_prediction","cb8008fd994ca184241594ce015d3c868886c1aa"
"tesis","Papers_tesis/tesis/Einbinder et al 2024 - Label Noise Robustness of Conformal Prediction.pdf",66,"mineru","pypdf","strong","high","close","conformal_prediction","82596bf75037167472ed65d7fe48b4aa63fbbaa7"
"tesis","Papers_tesis/tesis/Fuster et al 2022 - Predictably Unequal Effects of Machine Learning on Credit Markets.pdf",92,"mineru","pypdf","strong","high","close","credit_fairness","b6ce8669602f028362ab3a639e7bfb335e2a169c"
"tesis","Papers_tesis/tesis/Kato 2024 - Conformal Predictive Portfolio Selection.pdf",14,"mineru","pypdf","strong","high","close","conformal_prediction","8af81dc47f3a5465012b9456d32c8ba7c905e707"
"tesis","Papers_tesis/tesis/Kawasumi Kato Duan 2026 - Conformal Prediction for Ordinal Credit Scoring.pdf",8,"mineru","pypdf","strong","high","close","credit_lending_economics","da92ecd4e9067efdf2375f40582f67aac191012b"
"tesis","Papers_tesis/tesis/Khandani Kim Lo 2010 - Consumer Credit-Risk Models via Machine-Learning Algorithms.pdf",49,"mineru","pypdf","strong","high","close","credit_lending_economics","154d09208df6ea1ec6d4342cc3ac7337eaceb645"
"tesis","Papers_tesis/tesis/Noguer i Alonso 2024 - Conformal Portfolio Optimization.pdf",6,"mineru","pypdf","strong","high","close","conformal_prediction","23da58fb6b7436c8e05c36b4bb8a46b1d41df04c"
