relative_path,caption_type,caption_index,caption_text,caption_index_truncated
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,5,"Figure 5 The percentage of all sales in the German state of Berlin taken up by each of 13 selected titles,",false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,6,Figure 6 Scatter plots of various data from IMDb and RT (horizontal axes) against total European sales during,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,7,Figure 7 Weekly search engine attention for two unnamed films in the world and in two populous German,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,8,Figure 9 The performance of our prescription over time. Blue vertical dashes indicate major release dates. The,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,9,Figure 10 The distribution of coefficients of prescriptiveness P over retail locations.,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,10,Figure 11 Network data for shipment planning example.,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,11,Figure 12 Results of the experiment in Section 13.2.,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,12,"Figure 13 The graph of actors, connected via common movies where both are first-billed. Colored nodes",false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,1,Figure 3 we compare Bounds 1 and 3 and the approximate bound for n = 2000. Bound 3 is identical,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,2,Figure 1: Comparison of probability bounds for n = |Ji | = 10.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,3,Figure 2: Comparison of probability bounds for n = |Ji | = 100.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,4,Figure 3: Comparison of probability bounds for n = |Ji | = 2000.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,table,5,Table 1: Choice of Γi as a function of n = |Ji | so that the probability of constraint violation is less than,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,6,Figure 4 illustrates the effect of the protection level on the objective function value. In the absence of,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,7,Figure 4: Optimal value of the robust knapsack formulation as a function of Γ.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,8,Figure 5: Optimal value of the robust knapsack formulation as a function of the probability bound of constraint,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,table,9,Table 2: Results of Robust Knapsack Solutions.,false
paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,figure,10,Figure 6: The return and the objective function value (risk adjusted return) as a function of the protection level,false
