learner,learner_label,window,window_id,taxonomy_groups,score_stratum,conformal_group,alpha,fit_rows,fit_defaults,fit_default_prevalence,finite_sample_rank,boundary_count,phase_boundary_rate,phase_margin,phase_prevalence_at_or_below_boundary,frozen_threshold,threshold_below_half,max_score_below_half_condition,target_candidate_rows,target_score_max,positive_label_boundary,target_max_below_positive_label_boundary,positive_label_excluded_from_every_target_set,target_resolved_rows,target_resolved_misses,resolved_misses_in_exclusion_strata,resolved_misses_all_strata,exclusion_strata_resolved_miss_fraction
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,2,1,0.1,2437,190,0.0779647107098892,2195,242,0.09930242100943783,-52,True,0.0796458969830263,True,True,79865,0.080368886853859,0.9203541030169737,True,True,77165,9770,16123,44855,0.3594471073458923
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,3,2,0.1,3249,379,0.1166512773160972,2925,324,0.0997229916897507,55,False,0.8919735883395368,False,True,79047,0.1118929639718075,0.10802641166046323,False,False,76495,9834,16123,44855,0.3594471073458923
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,4,3,0.1,3603,556,0.154315847904524,3244,359,0.09963918956425201,197,False,0.8617614186932525,False,True,80235,0.1532609213726591,0.1382385813067475,False,False,77819,9900,16123,44855,0.3594471073458923
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,5,4,0.1,3830,823,0.2148825065274151,3448,382,0.09973890339425587,441,False,0.8095744723631617,False,False,77223,0.5544847575803251,0.1904255276368383,False,False,74890,8998,16123,44855,0.3594471073458923
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,1,0,0.1,1943,97,0.0499227997941327,1750,193,0.09933093154915079,-96,True,0.0490039526461765,True,True,60520,0.0502639837473318,0.9509960473538235,True,True,58445,6617,16089,44082,0.3649789029535865
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,2,1,0.1,2647,217,0.0819795995466566,2384,263,0.09935776350585569,-46,True,0.0797876649605875,True,True,79865,0.080368886853859,0.9202123350394125,True,True,77165,9472,16089,44082,0.3649789029535865
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,3,2,0.1,3621,422,0.1165423916045291,3260,361,0.09969621651477492,61,False,0.8920116585417792,False,True,79047,0.1118929639718075,0.10798834145822078,False,False,76495,9817,16089,44082,0.3649789029535865
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,4,3,0.1,4098,661,0.1612981942410932,3690,408,0.09956076134699854,253,False,0.862876020574146,False,True,80235,0.1532609213726591,0.13712397942585397,False,False,77819,9487,16089,44082,0.3649789029535865
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,5,4,0.1,4365,951,0.2178694158075601,3930,435,0.09965635738831616,516,False,0.8111630187017316,False,True,77223,0.5544847575803251,0.18883698129826842,False,False,74890,8689,16089,44082,0.3649789029535865
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,1,0,0.1,2182,107,0.0490375802016498,1965,217,0.09945004582951421,-110,True,0.0488154400698228,True,True,60520,0.0502639837473318,0.9511845599301771,True,True,58445,7022,16662,44604,0.37355394135055153
