method_a,method_b,window_id,taxonomy_groups,role,conformal_group,candidate_rows,resolved_rows,unresolved_rows,coverage_difference_resolved,coverage_difference_lower,coverage_difference_upper,shared_loanwise_completion
isotonic,beta,w06_2012m06_m11,5,primary_oot,0,60520,58445,2075,0.06695183505860211,0.06465631196298745,0.06730006609385328,True
isotonic,beta,w06_2012m06_m11,5,primary_oot,1,79865,77165,2700,0.014721700252705241,0.014224003005071057,0.014774932698929443,True
isotonic,beta,w06_2012m06_m11,5,primary_oot,2,79047,76495,2552,0.07099810445127132,0.06870595974546789,0.08312775943426062,True
isotonic,beta,w06_2012m06_m11,5,primary_oot,3,80235,77819,2416,0.004613269253010191,0.004474356577553437,0.005259550071664486,True
isotonic,beta,w06_2012m06_m11,5,primary_oot,4,77223,74890,2333,0.034263586593670715,0.03322844230345882,0.037799619284410085,True
isotonic,beta,w07_2012m07_m12,5,primary_oot,-1,376890,364814,12076,0.03937623007888952,0.03811456923770862,0.04317440101886492,True
isotonic,beta,w07_2012m07_m12,5,primary_oot,0,60520,58445,2075,0.06631876122850543,0.06404494382022471,0.06665565102445473,True
isotonic,beta,w07_2012m07_m12,5,primary_oot,1,79865,77165,2700,0.01766344845461025,0.017066299380204094,0.01778000375633882,True
isotonic,beta,w07_2012m07_m12,5,primary_oot,2,79047,76495,2552,0.07511602065494477,0.07269093071210798,0.08783382038534036,True
isotonic,beta,w07_2012m07_m12,5,primary_oot,3,80235,77819,2416,0.00791580462354952,0.007677447497974699,0.009173054153424317,True
isotonic,beta,w07_2012m07_m12,5,primary_oot,4,77223,74890,2333,0.036907464280945386,0.03579244525594706,0.04064851145384147,True
isotonic,beta,w08_2012m08_2013m01,5,primary_oot,-1,376890,364814,12076,0.02693153223286387,0.02606861418451007,0.02841147284353525,True
isotonic,beta,w08_2012m08_2013m01,5,primary_oot,0,60520,58445,2075,0.05966293096073231,0.05761731658955717,0.06001321877065433,True
isotonic,beta,w08_2012m08_2013m01,5,primary_oot,1,79865,77165,2700,0.020281215577010302,0.019595567520190323,0.020447004319789644,True
isotonic,beta,w08_2012m08_2013m01,5,primary_oot,2,79047,76495,2552,0.0021439309758807764,0.0020747150429491316,0.002188571356281706,True
isotonic,beta,w08_2012m08_2013m01,5,primary_oot,3,80235,77819,2416,0.01285033218108688,0.012463388795413474,0.014794042500155792,True
isotonic,beta,w08_2012m08_2013m01,5,primary_oot,4,77223,74890,2333,0.04819067966350648,0.0467347810885358,0.052872848762674333,True
isotonic,venn_abers,w01_2012m01_m06,5,primary_oot,-1,376890,364814,12076,0.0003316758677024456,0.00032104858181432246,0.00037411446310594605,True
isotonic,venn_abers,w01_2012m01_m06,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
isotonic,venn_abers,w01_2012m01_m06,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
isotonic,venn_abers,w01_2012m01_m06,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
isotonic,venn_abers,w01_2012m01_m06,5,primary_oot,3,80235,77819,2416,0.0,0.0,0.0,True
isotonic,venn_abers,w01_2012m01_m06,5,primary_oot,4,77223,74890,2333,0.001615703031112298,0.0015668906931872628,0.001825880890408298,True
isotonic,venn_abers,w02_2012m02_m07,5,primary_oot,-1,376890,364814,12076,0.0048929043293294665,0.004736129905277402,0.0054312929501976704,True
isotonic,venn_abers,w02_2012m02_m07,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
isotonic,venn_abers,w02_2012m02_m07,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
isotonic,venn_abers,w02_2012m02_m07,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
isotonic,venn_abers,w02_2012m02_m07,5,primary_oot,3,80235,77819,2416,0.02138295274932857,0.020739078955568018,0.023755219044058078,True
isotonic,venn_abers,w02_2012m02_m07,5,primary_oot,4,77223,74890,2333,0.001615703031112298,0.0015668906931872628,0.001825880890408298,True
isotonic,venn_abers,w03_2012m03_m08,5,primary_oot,-1,376890,364814,12076,0.0048929043293294665,0.004736129905277402,0.0054312929501976704,True
isotonic,venn_abers,w03_2012m03_m08,5,primary_oot,0,60520,58445,2075,0.0,0.0,0.0,True
isotonic,venn_abers,w03_2012m03_m08,5,primary_oot,1,79865,77165,2700,0.0,0.0,0.0,True
isotonic,venn_abers,w03_2012m03_m08,5,primary_oot,2,79047,76495,2552,0.0,0.0,0.0,True
isotonic,venn_abers,w03_2012m03_m08,5,primary_oot,3,80235,77819,2416,0.02138295274932857,0.020739078955568018,0.023755219044058078,True
