temporal_shift,metric,mean,q05,q50,q95,repetitions
0.1,zero_base_drift_coverage,0.9000925,0.881475,0.901,0.916,200
0.1,transported_coverage,0.8950575000000001,0.8765,0.896,0.911,200
0.1,base_rate_drift_coverage_effect,-0.005034999999999999,-0.008000000000000007,-0.0050000000000000044,-0.0025000000000000577,200
0.1,calibration_score_mean,0.08759307234343462,0.08354427731510955,0.08747963189371394,0.09181033632015508,200
0.1,evaluation_score_mean,0.0970876445911247,0.09307174472012977,0.096985656726612,0.10139040273680644,200
0.1,score_drift,0.009494572247690094,0.0035396893884344265,0.009166559426383607,0.015305102354153626,200
0.1,group_penalty_sd,0.3217535061254082,0.2739341957064442,0.29039330402662944,0.38982579053322886,200
0.1,pooled_penalty,0.38278248665810927,0.32190741260864103,0.37785329490730324,0.4546628784157535,200
0.1,upper_endpoint_saturation,0.112745,0.08145000000000001,0.1125,0.14809999999999995,200
0.1,clipping_score_reduction,0.00373991257735784,0.002719875040224712,0.00379672591657152,0.004765759586447966,200
0.1,taxonomy_allocation_l1,0.055683955909323436,0.03670762994511497,0.04864608278419398,0.08250324436994111,200
0.1,saturation_allocation_l1,0.001883022932050623,8.020928945606273e-05,0.001871565377594078,0.00417291927356112,200
0.1,guard_point_moment,0.14094699320168172,0.12759167732102802,0.1457981795737428,0.15008805608632,200
0.1,same_cap_point_moment,0.21185632836058155,0.2056248221107087,0.21197168300979785,0.21787304545575728,200
0.1,matched_point_moment,0.14094699320168172,0.12759167732102802,0.1457981795737428,0.15008805608632,200
0.1,matched_moment_residual,5.551115123125783e-19,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,200
0.1,guard_default,0.15328909096565507,0.10975,0.15340241592257578,0.19758672521143247,200
0.1,same_cap_default,0.229325,0.18475,0.23,0.27524999999999994,200
0.1,matched_default,0.15315688545741024,0.105,0.1531553156449852,0.2,200
0.1,guard_minus_same_cap_default,-0.07603590903434491,-0.115,-0.07999374350042572,-0.022820792969028666,200
0.1,guard_minus_matched_default,0.00013220550824483992,-0.029887371079012785,0.0,0.02757070309846423,200
0.1,guard_payoff,0.09359187128817659,0.0644855812690242,0.0931441725057215,0.12076303097367955,200
0.1,same_cap_payoff,0.0981925562651626,0.06168279682767723,0.09908369070302078,0.13101176198882783,200
0.1,matched_payoff,0.09541388274339103,0.06818508205025825,0.0956978084268324,0.12228031093289866,200
0.1,guard_minus_same_cap_payoff,-0.004600684976986031,-0.03950963912245792,-0.0034175136039325954,0.02306404524713507,200
0.1,guard_minus_matched_payoff,-0.0018220114552144567,-0.0191076822494386,-0.0012675093809033644,0.016064280774054612,200
0.15,calibration_coverage,0.90338,0.903,0.9035,0.904,200
0.15,zero_base_drift_coverage,0.9001075000000001,0.885475,0.9,0.9135249999999999,200
0.15,transported_coverage,0.8923124999999998,0.875,0.89225,0.9065,200
0.15,base_rate_drift_coverage_effect,-0.007795000000000005,-0.01149999999999996,-0.007500000000000062,-0.0045000000000000595,200
0.15,calibration_score_mean,0.08751987044606112,0.08380246259550454,0.0873689924572719,0.0911431599382507,200
0.15,evaluation_score_mean,0.10215116870697492,0.09740124731323821,0.10233655559127985,0.10641885887205368,200
