learner,learner_label,window_id,score_stratum,fit_rows,target_rows,resolved_rows,unresolved_rows,completion_directional_ks_denominator,calibration_minus_target_ks_min,calibration_minus_target_ks_max,target_minus_calibration_ks_min,target_minus_calibration_ks_max,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_max_numerator,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_max_numerator,sharp_directional_discrepancy_comparison,v5_q_and_coverage_reconciled
catboost_platt,CatBoost,w05_2012m05_m10,1,2456,60520,58445,2075,148637120,0.0622345212286136,0.079372689675365,0.0020198453791354,0.0023833615721294,9250360,11797728,300224,354256,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w05_2012m05_m10,2,3483,79865,77165,2700,278169795,0.0258667084972327,0.0596737578930882,0.0233780774077214,0.0392785528709182,7195337,16599437,6503075,10926107,directional_discrepancies_not_robustly_ordered,True
catboost_platt,CatBoost,w05_2012m05_m10,3,5001,79047,76495,2552,395314047,0.0384937851702497,0.0700699360678169,0.0127329803688964,0.024598154489562,15217134,27699630,5033526,9723996,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w05_2012m05_m10,4,6360,80235,77819,2416,510294600,0.0286887221616689,0.0567876967539926,0.0017061614996513,0.0027904763248523,14639700,28978455,870645,1423965,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w05_2012m05_m10,5,6970,77223,74890,2333,538244310,0.0640587059805611,0.0894624190267798,0.0037628247291643,0.0051743213040189,34479234,48152638,2025319,2785049,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w06_2012m06_m11,1,2551,60520,58445,2075,154386520,0.0484301932578051,0.0700692262511001,0.002760597233489,0.003124113426483,7476969,10817744,426199,482321,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w06_2012m06_m11,2,3783,79865,77165,2700,302129295,0.0236843964435822,0.057466155342533,0.0324902224393698,0.0485548314671041,7155750,17362209,9816248,14669837,directional_discrepancies_not_robustly_ordered,True
catboost_platt,CatBoost,w06_2012m06_m11,3,5502,79047,76495,2552,434916594,0.0392374750364204,0.0708136259339877,0.0151030268576047,0.0266151652056761,17065029,30798021,6568557,11575377,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w06_2012m06_m11,4,7126,80235,77819,2416,571754610,0.0297091929000799,0.0589160059417798,0.0023223389488717,0.0046536747644238,16986368,33685498,1327808,2660760,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w06_2012m06_m11,5,7723,77223,74890,2333,596393229,0.0686885363683429,0.0934684521711764,0.0029034601933752,0.0043149567682298,40965378,55743952,1731604,2573411,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w07_2012m07_m12,1,2733,60520,58445,2075,165401160,0.0377004611092207,0.0676506561380827,0.0051643954613135,0.0055279116543076,6235700,11189497,854197,914323,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w07_2012m07_m12,2,4268,79865,77165,2700,340863820,0.0284532808439452,0.0622603302398007,0.0191471890445867,0.033403316315589,9698694,21222294,6526584,11385982,directional_discrepancies_not_robustly_ordered,True
catboost_platt,CatBoost,w07_2012m07_m12,3,5929,79047,76495,2552,468669663,0.0424804730746995,0.0740566239722668,0.0075799828332391,0.0191680253901989,19909309,34708093,3552508,8983472,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w07_2012m07_m12,4,7430,80235,77819,2416,596146050,0.0360577496068287,0.0655074540878028,0.0015585107038786,0.0027425326394429,21495685,39052010,929100,1634950,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w07_2012m07_m12,5,8051,77223,74890,2333,621722373,0.071995347029276,0.0966903470272896,0.001240310842087,0.0021436497347989,44761118,60114552,771129,1332755,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w08_2012m08_2013m01,1,2847,60520,58445,2075,172300440,0.0298060991602807,0.0597726331981508,0.0066672783888421,0.0085490959860578,5135604,10298851,1148775,1473013,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w08_2012m08_2013m01,2,4572,79865,77165,2700,365142780,0.0321017630418435,0.065908812437699,0.0162608747186511,0.0313843395725913,11721727,24066127,5937541,11459765,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w08_2012m08_2013m01,3,6238,79047,76495,2552,493095186,0.0463727159567118,0.0785211194497445,0.0070521515900583,0.0139724909015842,22866163,38718386,3477382,6889768,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w08_2012m08_2013m01,4,7820,80235,77819,2416,627437700,0.0407540222718526,0.0707907892687991,0.0003414681648871,0.0016891716898745,25570610,44416810,214250,1059850,larger_target_residual_discrepancy_dominates,True
catboost_platt,CatBoost,w08_2012m08_2013m01,5,8652,77223,74890,2333,668133396,0.0703119501004556,0.095913131095755,0.001992392549107,0.0026010195125764,46977762,64082766,1331184,1737828,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w01_2012m01_m06,1,1626,48646,47005,1641,79098396,0.0379744995081821,0.068267351464371,0.1413775065678955,0.1483256626341702,3003722,5399838,11182734,11732322,smaller_target_residual_discrepancy_dominates,True
