learner,learner_label,taxonomy_groups,role,conformal_group,window_id,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper
catboost_platt,CatBoost,2,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8776499805380276,0.854273130091008,0.8812438642574757
catboost_platt,CatBoost,2,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8740536273278986,0.8505319854599485,0.8777388627981639
catboost_platt,CatBoost,2,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.869676054098801,0.8458993340231897,0.8734484862957361
catboost_platt,CatBoost,5,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8770469335058413,0.8547135769057285,0.8805221682719095
catboost_platt,CatBoost,5,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.879165821487114,0.8570245960359787,0.8825970442304121
catboost_platt,CatBoost,5,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8777349553471084,0.8556528430045902,0.8811430390830216
catboost_platt,CatBoost,5,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.8748732230670972,0.8525697153015469,0.8783411605508239
catboost_platt,CatBoost,5,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.87251311627295,0.8499323410013532,0.8760327947146382
catboost_platt,CatBoost,5,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8721129123334083,0.8494255618350182,0.8756692934277905
catboost_platt,CatBoost,5,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8694814343747773,0.8465175515402372,0.8730929448910822
catboost_platt,CatBoost,5,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.8658549288130389,0.8424845445620738,0.8695640637851894
catboost_platt,CatBoost,10,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8793439944738963,0.8574040170872138,0.8828093077555785
catboost_platt,CatBoost,10,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.8807776017367754,0.8590013001140917,0.8841890206691607
catboost_platt,CatBoost,10,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8802430827764285,0.8584016556554963,0.8836610151503091
catboost_platt,CatBoost,10,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.8794152636686092,0.8575552548488949,0.8828199209318369
catboost_platt,CatBoost,10,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8777733310673385,0.8557032555918173,0.881254477433734
catboost_platt,CatBoost,10,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8761286573431941,0.8538751359813208,0.8796545411127915
catboost_platt,CatBoost,10,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8713645857889225,0.8489240892568124,0.8749475974422245
catboost_platt,CatBoost,10,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.8669568602082157,0.8441773461752766,0.8706598742338614
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8887926450191056,0.8654514579850885,0.8923558597999416
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.8887213758243927,0.8653824723394093,0.8922868741542626
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8872082759981799,0.8637082437846586,0.8908222558306137
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.8855773078884034,0.8619013505266788,0.8892435458621879
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8846891840773654,0.8609169784287193,0.8883838785852636
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8828307027690823,0.8588978216455729,0.8865849452094776
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8791247046440104,0.8548462416089575,0.8829976916341639
numeric_logistic_platt,Numeric logistic,1,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.8747142379404299,0.8500835787630343,0.8787285414842527
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8875755864632388,0.8655230969248322,0.8908222558306137
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.8866079700888672,0.8644193265939664,0.8898962562020749
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8855389321681734,0.8633394359096819,0.8888269786940487
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.882833443891956,0.8604765316139988,0.8861630714532092
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8820577061187345,0.8594523601050704,0.8854679084082889
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8804130323945901,0.8574358566159888,0.8839236912627026
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8760436825341132,0.852720953063228,0.8796598477009206
numeric_logistic_platt,Numeric logistic,2,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.871619510216165,0.8479582902173048,0.87535620472817
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8930578322103867,0.8718193637400833,0.8962217092520364
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.8921011803275094,0.8708509114065112,0.8952771365650455
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8918188446715313,0.8706413011754093,0.8949693544535541
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.8881567045124364,0.8666640133726021,0.8913741409960466
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8856924350490936,0.8636631377855608,0.8890127092785693
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.8830445103532211,0.8605614370240654,0.886468200270636
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8774279495852682,0.8545172331449494,0.8809758815569529
numeric_logistic_platt,Numeric logistic,5,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.8732340315886999,0.8500305128817427,0.8768632757568522
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w01_2012m01_m06,376890,364814,12076,0.8936691026111936,0.8730292658335324,0.896749714770888
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w02_2012m02_m07,376890,364814,12076,0.894220068308782,0.8736501366446443,0.8972936400541272
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w03_2012m03_m08,376890,364814,12076,0.8934525539041813,0.8729098676006262,0.8965321446575925
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w04_2012m04_m09,376890,364814,12076,0.8910266601610684,0.870174321420043,0.8941627530579214
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w05_2012m05_m10,376890,364814,12076,0.8874166013365715,0.8659821167980047,0.8906736713629971
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w06_2012m06_m11,376890,364814,12076,0.884711113060354,0.862920215447478,0.8880814030619013
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w07_2012m07_m12,376890,364814,12076,0.8803719155514865,0.858144286131232,0.8838520523229589
numeric_logistic_platt,Numeric logistic,10,primary_oot,-1,w08_2012m08_2013m01,376890,364814,12076,0.8731353511652513,0.8504205471092361,0.8767730637586564
