paired_policy_id,seed,purpose_cap,payoff_direction,default_direction,miscoverage_direction,payoff_lower,payoff_upper,default_lower,default_upper,miscoverage_lower,miscoverage_upper
linear-005,42,0.25,negative,indeterminate,positive,-135905.18562966606,-6936.449301627916,-0.0031702467880402024,0.009673112851249166,0.006988479034400092,0.018245172007022793
linear-005,42,0.3,negative,positive,positive,-209545.40199319646,-84468.4669394144,0.005110652009988251,0.017533002184609767,0.015973540270495613,0.026809223778450464
linear-005,42,1.0,negative,positive,positive,-192163.75883014066,-77930.79841831207,0.004203702785661025,0.016007858395326806,0.007874948937505663,0.019292437880504776
linear-005,43,0.2,positive,negative,negative,123301.40481841839,224966.43231841837,-0.02686284505082912,-0.01593117838416245,-0.022937726660000088,-0.01267272666000009
linear-005,43,0.25,indeterminate,negative,negative,-5887.658141920816,111912.84435807918,-0.015635745086921525,-0.0029807450869215255,-0.01515241175358819,-0.003164078420254857
linear-005,43,0.3,negative,positive,positive,-160049.79862897756,-50036.72271575741,0.0011294838900032253,0.013090917688037497,0.0036111788491367865,0.01557261264717106
linear-005,43,1.0,negative,indeterminate,indeterminate,-149837.93302590537,-24355.30052590536,-0.0019807744007259136,0.011602558932607417,-0.002126147878371315,0.011457185454962018
linear-005,44,0.2,indeterminate,indeterminate,positive,-49885.93412872369,75566.81912883357,-0.009601829224369158,0.0035245668487825163,0.0017504621329828152,0.01487685820613449
linear-005,44,0.25,indeterminate,indeterminate,indeterminate,-58468.174915767566,81052.61508423244,-0.010551146124944306,0.004008853875055694,-0.005067218763534375,0.009492781236465624
linear-005,44,0.3,indeterminate,negative,indeterminate,-5024.366993543641,151445.63622809367,-0.01853630004162397,-0.0021563213735155758,-0.009727966708290632,0.006585345293151092
linear-005,44,1.0,indeterminate,indeterminate,indeterminate,-62898.853759827194,76924.78044222464,-0.01085652345744634,0.0034359364959946886,-0.00404302587631147,0.010249434077129554
linear-006,40,0.2,indeterminate,indeterminate,indeterminate,-118597.38861846665,37070.84638153335,-0.008150438693285241,0.008134561306714756,-0.0028536723822863014,0.0134313276177137
