contrast,role,policy_a,policy_b,policy_a_capital,policy_b_capital,funded_union_loans,unresolved_union_loans,expected_objective_difference,realized_payoff_difference_lower,realized_payoff_difference_upper,realized_payoff_rate_difference_lower,realized_payoff_rate_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,payoff_direction_sign_robust,default_direction_sign_robust,miscoverage_direction_sign_robust,causal_interpretation,dropped_period
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1853,46,7264.067163896281,-488641.0786337428,-278021.211281811,-0.0349029341881244,-0.0198586579487007,0.0346969322775213,0.0581143894357589,0.0316442898226906,0.0522046041237853,True,True,True,False,2016-09
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1859,46,5153.031294738874,-458889.8622289061,-248269.99487697432,-0.0327778473020647,-0.017733571062641,0.0307650666158155,0.054182523774053,0.0278320670181277,0.0483923813192224,True,True,True,False,2016-10
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1856,46,5708.942168632057,-503365.8582503157,-292745.9908983839,-0.0359547041607368,-0.0209104279213131,0.0359469103193556,0.0593643674775931,0.028799625007382,0.0493599393084767,True,True,True,False,2016-11
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1861,46,5494.93967324635,-475685.2267866967,-265065.35943476495,-0.0339775161990497,-0.018933239959626,0.0334400666158155,0.056857523774053,0.0261999241609848,0.0467602384620795,True,True,True,False,2016-12
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1859,46,11020.46178636374,-467737.26768234937,-257117.4003304176,-0.0334098048344535,-0.0183655285950298,0.0326384320207424,0.0560558891789799,0.0271072181373402,0.0476675324384349,True,True,True,False,2017-01
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1863,46,9675.755961566698,-493841.65184331406,-283221.7844913823,-0.0352744037030938,-0.0202301274636701,0.035061847548837,0.0584793047070745,0.0253145622368634,0.0458748765379581,True,True,True,False,2017-02
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1878,46,7157.560574444011,-486204.0040367108,-275584.136684779,-0.0347288574311936,-0.0196845811917699,0.0346150666158155,0.0580325237740531,0.0280392098752705,0.0485995241763652,True,True,True,False,2017-03
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1846,44,9623.647637599148,-482953.18479470734,-284501.4174427756,-0.0344966560567648,-0.0203215298173411,0.035181256430397,0.0572415707314917,0.0264982568327092,0.045701428276661,True,True,True,False,2017-04
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1841,29,9009.23448757222,-480285.0687830055,-375988.2539310737,-0.0343060763416432,-0.0268563038522195,0.0454634311394895,0.0570469597262984,0.0360340029703731,0.0469032458428963,True,True,True,False,2017-05
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1853,19,8600.147160826251,-399639.549224108,-281148.396724108,-0.0285456820874362,-0.0200820283374362,0.0346950237740531,0.0478860952026245,0.0255834527477938,0.0366316670335081,True,True,True,False,2017-06
