origin,window_index,learner,window_id,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper,fit_prevalence,fit_residual_quantile,set_empty_share,set_both_share
2017,7,catboost_platt,w07_2013m07_m12,77105,66217,10888,0.8547351888487851,0.7340380001296932,0.8752480383892095,0.11858763078275274,0.7745932134022601,0.016950911095259712,0.126749238052007
2017,8,catboost_platt,w08_2013m08_2014m01,77105,66217,10888,0.8541613180905205,0.7335451656831593,0.8747552039426756,0.11779603233871229,0.7725056453025922,0.01625056740807989,0.12237857467090331
2017,1,numeric_logistic_platt,w01_2013m01_m06,77105,66217,10888,0.8559433378135524,0.7350755463329226,0.8762855845924389,0.12659398423050716,0.7741193754057255,0.017793917385383568,0.13054925102133455
2017,2,numeric_logistic_platt,w02_2013m02_m07,77105,66217,10888,0.8565625141579957,0.7356072887620777,0.876817327021594,0.1263980595607061,0.7746007987179403,0.016834187147396408,0.12952467414564556
2017,3,numeric_logistic_platt,w03_2013m03_m08,77105,66217,10888,0.8560943564341483,0.7352052396083263,0.8764152778678426,0.12486632697993331,0.7720636010765802,0.01744374554179366,0.1288762077686272
2017,4,numeric_logistic_platt,w04_2013m04_m09,77105,66217,10888,0.8572118942265581,0.7361649698463135,0.8773750081058297,0.12398055362635182,0.7724142591827563,0.01708060437066338,0.13354516568315933
2017,5,numeric_logistic_platt,w05_2013m05_m10,77105,66217,10888,0.8572420979506773,0.7361909085013942,0.8774009467609104,0.12274429369813522,0.7708381120679889,0.017015757732961545,0.13424550937033916
2017,6,numeric_logistic_platt,w06_2013m06_m11,77105,66217,10888,0.856698430916532,0.735724012709941,0.8769340509694572,0.12067341025048443,0.7668369008977192,0.01740483755917256,0.13471240516179236
2017,7,numeric_logistic_platt,w07_2013m07_m12,77105,66217,10888,0.8563963936753402,0.7354646261591337,0.8766746644186499,0.11858763078275274,0.7630164102886189,0.01743077621425329,0.13296154594384282
2017,8,numeric_logistic_platt,w08_2013m08_2014m01,77105,66217,10888,0.8554298745035263,0.7346345891965501,0.8758446274560664,0.11779603233871229,0.7614991081513474,0.0178198560404643,0.12969327540367032
