candidate_family,run_label,tier,decision_read,candidate_rank,shortlist_bucket,policy_mode,risk_tolerance,gamma,delta_cap_quantile,tail_focus_quantile,uncertainty_aversion,realized_total_return,return_delta_vs_champion,alpha01_exact_pass,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,alpha01_violation,alpha01_empirical_coverage_funded,n_funded
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_exact_pass,append_or_park_no_champion_case,3,return_global,blended_uncertainty,0.19,0.325,1.0,1.0,0.15,167481.12021210513,-2983.4227163575706,True,0.058675,0.270366,0.0,0.959,273.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_V_leq_champion,V_challenger_only_gamma_return_worse,7,return_global,capped_blended_uncertainty,0.18,0.325,0.75,1.0,0.0,165109.8500223593,-5354.692906103417,True,0.032675,0.258856,0.0,0.9667,269.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_V_leq_champion,V_challenger_only_gamma_return_worse,11,return_global,capped_blended_uncertainty,0.18,0.325,0.9,1.0,0.0,164626.4438320008,-5838.099096461898,True,0.032675,0.258856,0.0,0.9667,271.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_V_leq_champion,V_challenger_only_gamma_return_worse,12,return_global,capped_blended_uncertainty,0.19,0.375,0.75,1.0,0.05,164537.97976539787,-5926.563163064828,True,0.033675,0.249951,0.0,0.9635,272.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,240,forced_incumbent_neighbors,blended_uncertainty,0.17,0.475,1.0,1.0,0.1,148477.2524564737,-21987.290471988992,True,0.047275,0.183571,0.0,0.97,266.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,207,forced_incumbent_neighbors,blended_uncertainty,0.165,0.45,1.0,1.0,0.1,148317.61801947665,-22146.924908986053,True,0.047275,0.183033,0.0,0.9701,269.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,208,forced_incumbent_neighbors,capped_blended_uncertainty,0.165,0.45,1.0,1.0,0.1,148317.61801947665,-22146.924908986053,True,0.047275,0.183033,0.0,0.9701,269.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_V_exact_pass,bound_challenger_only_return_worse,200,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.425,1.0,0.75,0.5,126937.19014928368,-43527.352779179026,True,0.0272,0.160967,0.0,0.9705,263.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_V_exact_pass,bound_challenger_only_return_worse,198,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.45,1.0,0.75,0.5,126937.10519376643,-43527.43773469627,True,0.0272,0.160967,0.0,0.9705,263.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_V_exact_pass,bound_challenger_only_return_worse,199,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.55,1.0,0.75,0.5,126936.73858904834,-43527.80433941436,True,0.0272,0.160967,0.0,0.9705,263.0
